id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
d1f4b6d49e21bc1a3de53fc7ac8b3a94, J. Metrôlho,portugal,europe,0,0,2,1,0,0,0,0,0,3,1,0,2,3,12
6b5233c70d076b79aecbcccec6c002a4, F. Ribeiro,portugal,europe,0,0,1,0,0,0,1,1,0,3,1,0,2,3,12
56aa4a6eae3de9987def4613ab85efab, J. Armas-Aguirre,peru,south america,0,0,0,0,0,0,0,0,0,0,6,0,4,2,12
fffd96541893504f9a10b9634cfc8f6c,G. Azevedo,portugal,europe,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
8b24ff84a46806f8209c7eb9e8c0049a,M. Santos,brazil,south america,1,1,1,3,0,0,0,2,0,0,1,1,0,2,12
7c17e86a4c23db56cb611accbc13baeb, C. Morais,brazil,south america,0,1,1,1,3,1,0,1,1,0,1,1,0,1,12
40999909a0af3dcbf4dd40b94fec0267, M. Gutiérrez,argentina,south america,0,0,1,1,2,1,1,1,1,1,1,1,1,0,12
adfa3bd664b95bd3d4e368d3c498aa45, A. P. F. Araújo,brazil,south america,0,0,1,0,2,2,1,2,2,1,1,0,0,0,12
63709eb4408e26d245427d98d1055065, P. Oliveira,portugal,europe,0,0,1,1,0,3,1,2,2,1,1,0,0,0,12
6676690cd85a3f3254b1cf66266f9810, A. Lozano-Tello,españa,europe,3,1,2,1,0,1,0,1,1,2,0,0,0,0,12
179e99b4a952b2b9d944ed06aa41a52f,C. Calderon-Cordova,ecuador,south america,0,0,0,0,0,0,2,3,7,0,0,0,0,0,12
de4b97dbe91ba215e4b75ef5e14bdd3d,E. A. D. Moresi,brazil,south america,0,0,0,0,0,0,0,2,6,0,0,0,0,3,11
0c63515181958ce35a0d9603c6488c5a, L. Muñoz,panama,central america,1,0,0,0,0,1,0,1,1,0,1,2,2,2,11
a43271b58b42a319935d4fdb243e7e22,E. Oliveira,portugal,europe,0,1,0,0,1,2,3,0,0,0,0,2,1,1,11
c47201b91a9caa22dd8379912c91744c, A. Teixeira,portugal,europe,1,0,1,3,0,1,0,1,0,1,0,2,0,1,11
adadae663a084c604e78bcfb97228dd8, G. Pestana,portugal,europe,0,0,0,0,0,0,1,0,2,5,1,1,0,1,11
c1a7026adbaca5204d298264b9528395, A. Araujo,brazil,south america,0,0,1,0,0,4,2,0,0,0,0,0,3,1,11
9ef411ec6820382ae228fe825a37cce5, A. Manacero,brazil,south america,0,0,0,0,1,0,0,2,0,0,1,4,1,2,11
