source,target,year,weight,total
afdb85eaea71c757731591036cd9c840,ed7be61ec4657c224199dd6127b15e27,2023,1,1
eb52f692193e6744697c4d080d46547c,4eaea9e32b07417e2f440cf3362b993e,2023,1,1
eb52f692193e6744697c4d080d46547c,ed7be61ec4657c224199dd6127b15e27,2023,1,1
4eaea9e32b07417e2f440cf3362b993e,ed7be61ec4657c224199dd6127b15e27,2023,1,1
d42d50dec13f14a3294ccc480aa91767,8bda67e71eb4bbb2d34e08673f3a4f68,2023,1,1
d42d50dec13f14a3294ccc480aa91767,1992634d1c7f7643818caf5205a5eb2a,2023,1,1
d42d50dec13f14a3294ccc480aa91767,4dd6cb860bb02385414f28bcdfa0a960,2023,1,1
d42d50dec13f14a3294ccc480aa91767,0c63515181958ce35a0d9603c6488c5a,2023,1,1
8bda67e71eb4bbb2d34e08673f3a4f68,1992634d1c7f7643818caf5205a5eb2a,2023,1,1
8bda67e71eb4bbb2d34e08673f3a4f68,4dd6cb860bb02385414f28bcdfa0a960,2023,1,1
8bda67e71eb4bbb2d34e08673f3a4f68,0c63515181958ce35a0d9603c6488c5a,2023,1,1
1992634d1c7f7643818caf5205a5eb2a,4dd6cb860bb02385414f28bcdfa0a960,2023,1,1
1992634d1c7f7643818caf5205a5eb2a,0c63515181958ce35a0d9603c6488c5a,2023,1,1
4dd6cb860bb02385414f28bcdfa0a960,0c63515181958ce35a0d9603c6488c5a,2023,2,2
682d83bda1eb7de6698341e05204627b,93f8bea0fd2cb59c8b28a3eeb6fbb507,2023,1,1
682d83bda1eb7de6698341e05204627b,35b27cf30cb5127003dd71a1b6b0bae7,2023,1,1
682d83bda1eb7de6698341e05204627b,2353fc5c77396fa65f215c9b4b5b1eb8,2023,5,5
682d83bda1eb7de6698341e05204627b,a2311d74704d771ad6a4ae4015728d2a,2023,2,2
682d83bda1eb7de6698341e05204627b,818bbe67ec432f5c6e87b6cc3c8fad95,2023,5,5
93f8bea0fd2cb59c8b28a3eeb6fbb507,35b27cf30cb5127003dd71a1b6b0bae7,2023,1,1
93f8bea0fd2cb59c8b28a3eeb6fbb507,2353fc5c77396fa65f215c9b4b5b1eb8,2023,1,1
93f8bea0fd2cb59c8b28a3eeb6fbb507,a2311d74704d771ad6a4ae4015728d2a,2023,1,1
